teamMemberCount,femaleTeamMembersPercent,teamLeadGender,teamDistribution,teamMemberResponseCount,meetingHoursTotal,meetingHoursAverage,meetingHoursStandardDeviation,inPersonMeetingHoursTotal,inPersonMeetingHoursAverage,inPersonMeetingHoursStandardDeviation,nonCodingDeliverablesHoursTotal,nonCodingDeliverablesHoursAverage,nonCodingDeliverablesHoursStandardDeviation,codingDeliverablesHoursTotal,codingDeliverablesHoursAverage,codingDeliverablesHoursStandardDeviation,helpHoursTotal,helpHoursAverage,helpHoursStandardDeviation,averageResponsesByWeek,standardDeviationResponsesByWeek,averageMeetingHoursTotalByWeek,standardDeviationMeetingHoursTotalByWeek,averageMeetingHoursAverageByWeek,standardDeviationMeetingHoursAverageByWeek,averageInPersonMeetingHoursTotalByWeek,standardDeviationInPersonMeetingHoursTotalByWeek,averageInPersonMeetingHoursAverageByWeek,standardDeviationInPersonMeetingHoursAverageByWeek,averageNonCodingDeliverablesHoursTotalByWeek,standardDeviationNonCodingDeliverablesHoursTotalByWeek,averageNonCodingDeliverablesHoursAverageByWeek,standardDeviationNonCodingDeliverablesHoursAverageByWeek,averageCodingDeliverablesHoursTotalByWeek,standardDeviationCodingDeliverablesHoursTotalByWeek,averageCodingDeliverablesHoursAverageByWeek,standardDeviationCodingDeliverablesHoursAverageByWeek,averageHelpHoursTotalByWeek,standardDeviationHelpHoursTotalByWeek,averageHelpHoursAverageByWeek,standardDeviationHelpHoursAverageByWeek,averageResponsesByStudent,standardDeviationResponsesByStudent,averageMeetingHoursTotalByStudent,standardDeviationMeetingHoursTotalByStudent,averageMeetingHoursAverageByStudent,standardDeviationMeetingHoursAverageByStudent,averageInPersonMeetingHoursTotalByStudent,standardDeviationInPersonMeetingHoursTotalByStudent,averageInPersonMeetingHoursAverageByStudent,standardDeviationInPersonMeetingHoursAverageByStudent,averageNonCodingDeliverablesHoursTotalByStudent,standardDeviationNonCodingDeliverablesHoursTotalByStudent,averageNonCodingDeliverablesHoursAverageByStudent,standardDeviationNonCodingDeliverablesHoursAverageByStudent,averageCodingDeliverablesHoursTotalByStudent,standardDeviationCodingDeliverablesHoursTotalByStudent,averageCodingDeliverablesHoursAverageByStudent,standardDeviationCodingDeliverablesHoursAverageByStudent,averageHelpHoursTotalByStudent,standardDeviationHelpHoursTotalByStudent,averageHelpHoursAverageByStudent,standardDeviationHelpHoursAverageByStudent,commitCount,uniqueCommitMessageCount,uniqueCommitMessagePercent,commitMessageLengthTotal,commitMessageLengthAverage,commitMessageLengthStandardDeviation,averageCommitCountByWeek,standardDeviationCommitCountByWeek,averageUniqueCommitMessageCountByWeek,standardDeviationUniqueCommitMessageCountByWeek,averageUniqueCommitMessagePercentByWeek,standardDeviationUniqueCommitMessagePercentByWeek,averageCommitMessageLengthTotalByWeek,standardDeviationCommitMessageLengthTotalByWeek,averageCommitCountByStudent,standardDeviationCommitCountByStudent,averageUniqueCommitMessageCountByStudent,issueCount,onTimeIssueCount,lateIssueCount,SE Process grade
5,0.6,1,0,6,8.571429,1.428571,0.57735,8.571429,1.428571,0.57735,8.285714,1.380952,1.213352,5.214286,0.869048,1.301815,1.571429,0.261905,0.449691,6,0,8.571429,0,1.428571,0,8.571429,0,1.428571,0,8.285714,0,1.380952,0,5.214286,0,0.869048,0,1.571429,0,0.261905,0,1.2,0.4,1.714286,0.968904,1.357143,0.349927,1.714286,0.968904,1.357143,0.349927,1.657143,0.703345,1.471429,0.74724,1.042857,0.927582,1.021429,0.947499,0.314286,0.330738,0.3,0.339267,1,1,1,28,28,0,1,0,1,0,1,0,28,0,1,0,1,0,0,0,A
5,0,0,0,15,6.785714,1.696429,0.960143,6.428572,1.607143,0.901388,12.5,3.125,2.769815,3.571429,0.892857,1.63936,2.142857,0.535714,0.829156,4,0,6.785714,0,1.696429,0,6.428572,0,1.607143,0,12.5,0,3.125,0,3.571429,0,0.892857,0,2.142857,0,0.535714,0,1,0,1.696429,0.685817,1.696429,0.685817,1.607143,0.643848,1.607143,0.643848,3.125,1.978439,3.125,1.978439,0.892857,1.170971,0.892857,1.170971,0.535714,0.592254,0.535714,0.592254,8,8,1,381,47.625,15.667941,8,0,8,0,1,0,381,0,4,3,4,0,0,0,A
5,0,0,1,3,4.285714,1.428571,0,3.571429,1.190476,0.471405,4.285714,1.428571,0,1.785714,0.595238,0.849837,0.714286,0.238095,0.235702,3,0,4.285714,0,1.428571,0,3.571429,0,1.190476,0,4.285714,0,1.428571,0,1.785714,0,0.595238,0,0.714286,0,0.238095,0,1,0,1.428571,0,1.428571,0,1.190476,0.336718,1.190476,0.336718,1.428571,0,1.428571,0,0.595238,0.607026,0.595238,0.607026,0.238095,0.168359,0.238095,0.168359,5,5,1,133,26.6,16.883128,5,0,5,0,1,0,133,0,2.5,1.5,2.5,0,0,0,F
5,0.2857,0,0,15,2,2,0,1,1,0,3,3,0,0,0,0,1,1,0,1,0,2,0,2,0,1,0,1,0,3,0,3,0,0,0,0,0,1,0,1,0,1,0,2,0,2,0,1,0,1,0,3,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
6,0,0,0,15,1,1,0,1,1,0,1,1,0,0,0,0,0.5,0.5,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0.5,0,0.5,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
6,0.1667,0,0,15,2,2,0,1,1,0,4,4,0,0,0,0,0.25,0.25,0,1,0,2,0,2,0,1,0,1,0,4,0,4,0,0,0,0,0,0.25,0,0.25,0,1,0,2,0,2,0,1,0,1,0,4,0,4,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
3,0,0,1,15,1,1,0,1,1,0,45,45,0,1,1,0,0.5,0.5,0,1,0,1,0,1,0,1,0,1,0,45,0,45,0,1,0,1,0,0.5,0,0.5,0,1,0,1,0,1,0,1,0,1,0,45,0,45,0,1,0,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
5,0.1429,0,0,11,21.142858,1.922078,3.282813,10.857143,0.987013,1.135454,23.428572,2.12987,3.386897,6.285715,0.571429,1.3484,8,0.727273,1.656442,11,0,21.142858,0,1.922078,0,10.857143,0,0.987013,0,23.428572,0,2.12987,0,6.285715,0,0.571429,0,8,0,0.727273,0,1.5714,0.494872,3.020408,3.505455,1.755102,1.703562,1.55102,0.901662,0.938776,0.365072,3.346939,3.447953,2.081633,1.805171,0.897959,0.909023,0.734694,0.861988,1.142857,1.331388,0.653061,0.695077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
5,0.1429,0,0,11,13.714286,1.246753,1.192262,6.285715,0.571429,0.852803,14.857144,1.350649,1.493789,2.857143,0.25974,0.890724,10.285715,0.935065,2.175179,11,0,13.714286,0,1.246753,0,6.285715,0,0.571429,0,14.857144,0,1.350649,0,2.857143,0,0.25974,0,10.285715,0,0.935065,0,1.5714,0.494872,1.959184,1.095217,1.183674,0.493186,0.897959,0.67316,0.612245,0.387218,2.122449,1.664986,1.306123,0.776584,0.408163,0.588661,0.204082,0.294331,1.469388,1.796846,0.836735,0.851781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
5,0.1429,0,0,9,12.571429,1.396825,1.165343,8.285715,0.920635,0.566558,29.142858,3.238095,8.75595,0,0,0,7.428572,0.825397,1.498971,9,0,12.571429,0,1.396825,0,8.285715,0,0.920635,0,29.142858,0,3.238095,0,0,0,0,0,7.428572,0,0.825397,0,1.2857,0.451754,1.795918,0.475996,1.55102,0.645363,1.183674,0.321388,0.979592,0.299938,4.163265,5.825164,2.816327,2.73378,0,0,0,0,1.061225,0.886758,0.979592,0.901662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
4,0.25,0,1,15,5.428572,1.809524,1.312335,2.857143,0.952381,0.235702,10.857143,3.619048,4.027682,4.571429,1.52381,3.771236,0.571429,0.190476,0.471405,3,0,5.428572,0,1.809524,0,2.857143,0,0.952381,0,10.857143,0,3.619048,0,4.571429,0,1.52381,0,0.571429,0,0.190476,0,1,0,1.809524,0.749906,1.809524,0.749906,0.952381,0.134687,0.952381,0.134687,3.619048,2.301533,3.619048,2.301533,1.52381,2.154992,1.52381,2.154992,0.190476,0.269374,0.190476,0.269374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
5,0.2,0,0,15,10.714286,2.142857,0.632456,8.571429,1.714286,0.489898,7.5,1.5,1.113553,2.142857,0.428571,0.8,2.857143,0.571429,0.979796,5,0,10.714286,0,2.142857,0,8.571429,0,1.714286,0,7.5,0,1.5,0,2.142857,0,0.428571,0,2.857143,0,0.571429,0,1,0,2.142857,0.451754,2.142857,0.451754,1.714286,0.349927,1.714286,0.349927,1.5,0.795395,1.5,0.795395,0.428571,0.571429,0.428571,0.571429,0.571429,0.699854,0.571429,0.699854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
6,0,0,0,15,7.857143,2.619048,0.471405,5.714286,1.904762,1.247219,7.142857,2.380952,0.942809,1.428571,0.47619,0.942809,0.714286,0.238095,0.471405,3,0,7.857143,0,2.619048,0,5.714286,0,1.904762,0,7.142857,0,2.380952,0,1.428571,0,0.47619,0,0.714286,0,0.238095,0,1,0,2.619048,0.336718,2.619048,0.336718,1.904762,0.890871,1.904762,0.890871,2.380952,0.673435,2.380952,0.673435,0.47619,0.673435,0.47619,0.673435,0.238095,0.336718,0.238095,0.336718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
4,0.25,1,0,15,4.285714,2.142857,0,4.285714,2.142857,0,5,2.5,0.5,1.428571,0.714286,1,2.857143,1.428571,0,2,0,4.285714,0,2.142857,0,4.285714,0,2.142857,0,5,0,2.5,0,1.428571,0,0.714286,0,2.857143,0,1.428571,0,1,0,2.142857,0,2.142857,0,2.142857,0,2.142857,0,2.5,0.357143,2.5,0.357143,0.714286,0.714286,0.714286,0.714286,1.428571,0,1.428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
6,0.5,1,0,15,10.5,1.75,1.626602,8.357143,1.392857,0.588076,14.285715,2.380952,2.494438,7.857143,1.309524,2.192158,4.285714,0.714286,1.118034,6,0,10.5,0,1.75,0,8.357143,0,1.392857,0,14.285715,0,2.380952,0,7.857143,0,1.309524,0,4.285714,0,0.714286,0,1,0,1.75,1.161858,1.75,1.161858,1.392857,0.420054,1.392857,0.420054,2.380952,1.781742,2.380952,1.781742,1.309524,1.565827,1.309524,1.565827,0.714286,0.798596,0.714286,0.798596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A
5,0.4,0,0,15,9.285715,2.321429,0.433013,9.285715,2.321429,0.433013,10,2.5,2.692582,0,0,0,3.214286,0.803571,1.138804,4,0,9.285715,0,2.321429,0,9.285715,0,2.321429,0,10,0,2.5,0,0,0,0,0,3.214286,0,0.803571,0,1,0,2.321429,0.309295,2.321429,0.309295,2.321429,0.309295,2.321429,0.309295,2.5,1.923273,2.5,1.923273,0,0,0,0,0.803571,0.813432,0.803571,0.813432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
5,0.2,0,0,15,11.428572,2.285714,0.748331,10.714286,2.142857,0.894427,8.571429,1.714286,0.8,0,0,0,4.285714,0.857143,0.4,5,0,11.428572,0,2.285714,0,10.714286,0,2.142857,0,8.571429,0,1.714286,0,0,0,0,0,4.285714,0,0.857143,0,1,0,2.285714,0.534522,2.285714,0.534522,2.142857,0.638877,2.142857,0.638877,1.714286,0.571429,1.714286,0.571429,0,0,0,0,0.857143,0.285714,0.857143,0.285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,F
5,0.4,1,0,10,23.285715,2.328571,1.990603,20.142858,2.014286,1.854724,20.857143,2.085714,3.494281,4.142857,0.414286,2.238303,6.821429,0.682143,2.115567,5,0,11.642857,4.642857,2.328571,0.928571,10.071429,4.071429,2.014286,0.814286,10.428572,6.714286,2.085714,1.342857,2.071429,0.785714,0.414286,0.157143,3.410714,1.410714,0.682143,0.282143,2,0,4.657143,0.950188,2.328571,0.475094,4.028572,0.834951,2.014286,0.417475,4.171429,1.30431,2.085714,0.652155,0.828571,0.768779,0.414286,0.384389,1.364286,1.353077,0.682143,0.676538,98,62,0.6327,2761,28.1735,33.155178,49,30,31.5,12.5,0.7785,0.2215,1380.5,680.5,32.6667,10.873004,21,1,1,0,A
5,0.2,0,0,10,10.714286,1.071429,0.830662,8.714286,0.871429,1.004988,9.857143,0.985714,0.9,8.571429,0.857143,2.48998,3.5,0.35,0.583095,5,0,5.357143,1.928571,1.071429,0.385714,4.357143,2.071429,0.871429,0.414286,4.928572,1.5,0.985714,0.3,4.285714,4.285714,0.857143,0.857143,1.75,1.035714,0.35,0.207143,2,0,2.142857,0.239046,1.071429,0.119523,1.742857,0.291373,0.871429,0.145686,1.971429,0.106905,0.985714,0.053452,1.714286,0.898979,0.857143,0.44949,0.7,0.094761,0.35,0.04738,6,4,0.6667,250,41.6667,19.779338,6,0,4,0,0.6667,0,250,0,3,0,2,1,1,0,A
5,0.2,0,0,11,11.642857,1.058442,1.992755,8.214286,0.746753,0.449977,9,0.818182,1.133633,6,0.545455,2.016461,4.357143,0.396104,0.596131,5.5,0.5,5.821429,2.964286,1.017857,0.446429,4.107143,1.25,0.732143,0.160714,4.5,1.928571,0.792857,0.278571,3,1.285714,0.528571,0.185714,2.178571,0.607143,0.389286,0.075,2.2,0.4,2.328571,1.487087,0.988095,0.39498,1.642857,0.191663,0.759524,0.106053,1.8,0.735957,0.816667,0.32381,1.2,1.044324,0.514286,0.429523,0.871429,0.42714,0.404762,0.218348,4,3,0.75,130,32.5,6.184658,2,0,1.5,0.5,0.75,0.25,65,5,2,1,1.5,1,1,0,A
6,0.1667,0,0,12,35.357143,2.946429,1.761372,25.357143,2.113095,1.621792,43.642857,3.636905,3.454817,3.857143,0.321429,0.640095,7.285714,0.607143,0.924211,6,0,17.678571,12.321429,2.946429,2.053571,12.678571,10.321429,2.113095,1.720238,21.821429,16.678571,3.636905,2.779762,1.928571,1.071429,0.321429,0.178571,3.642857,2.357143,0.607143,0.392857,2,0,5.892857,1.224571,2.946429,0.612286,4.22619,0.8791,2.113095,0.43955,7.27381,4.013671,3.636905,2.006835,0.642857,0.953868,0.321429,0.476934,1.214286,1.290336,0.607143,0.645168,4,2,0.5,191,47.75,1.299038,4,0,2,0,0.5,0,191,0,4,0,2,1,1,0,F
6,0.3333,0,0,12,27.1,2.258333,0.962166,19.214286,1.60119,0.505181,22.428571,1.869048,0.885845,5.142857,0.428571,0.62361,5.285714,0.440476,0.571305,6,0,13.55,4.55,2.258333,0.758333,9.607143,4.892857,1.60119,0.815476,11.214286,6.285714,1.869048,1.047619,2.571429,0.428571,0.428571,0.071429,2.642857,1.357143,0.440476,0.22619,2,0,4.516667,0.984244,2.258333,0.492122,3.202381,0.463675,1.60119,0.231837,3.738095,0.917208,1.869048,0.458604,0.857143,0.742307,0.428571,0.371154,0.880952,0.846829,0.440476,0.423415,1,1,1,51,51,0,1,0,1,0,1,0,51,0,1,0,1,1,1,0,F
3,0,0,1,2,6.428572,3.214286,0.5,3.571429,1.785714,0.5,7.857143,3.928572,1.5,0,0,0,1.785714,0.892857,0.75,2,0,6.428572,0,3.214286,0,3.571429,0,1.785714,0,7.857143,0,3.928572,0,0,0,0,0,1.785714,0,0.892857,0,1,0,3.214286,0.357143,3.214286,0.357143,1.785714,0.357143,1.785714,0.357143,3.928572,1.071429,3.928572,1.071429,0,0,0,0,0.892857,0.535714,0.892857,0.535714,11,4,0.3636,10,0.9091,1.31111,11,0,4,0,0.3636,0,10,0,11,0,4,0,0,0,A
